"server_ip","Validation_Status"
"192.168.37.35","Failed"
"192.168.113.82","Failed"
"192.168.46.164","Failed"
"192.168.42.145","Success"
"192.168.37.188","Failed"
"192.168.43.205","Failed"
"192.168.35.167","Failed"
"192.168.45.202","Failed"
"192.168.45.63","Failed"
"192.168.47.36","Failed"
"192.0.0.27","Failed"
"192.168.33.237","Failed"
"192.168.37.113","Failed"
"192.168.37.56","Success"
"192.168.38.144","Success"
"192.168.44.81","Failed"
"192.168.36.100","Failed"
"192.168.47.47","Failed"
"192.168.42.62","Success"
"192.168.41.23","Failed"
"192.168.47.234","Failed"
"192.168.34.208","Failed"
"192.168.45.252","Failed"
"192.168.40.46","Failed"
"192.168.43.195","Failed"
"192.168.32.73","Success"
"192.168.40.160","Failed"
"192.168.46.245","Failed"
"192.168.44.11","Failed"
"192.168.33.45","Success"
"192.168.42.125","Failed"
"192.168.37.212","Failed"
"192.168.21.106","Success"
"192.168.39.181","Failed"
"192.168.46.71","Failed"
"192.168.37.203","Failed"
"192.168.45.117","Failed"
"192.168.33.171","Failed"
"192.168.46.127","Failed"
"192.168.41.214","Success"
"192.168.44.248","Failed"
"192.168.38.20","Failed"
"192.168.35.181","Failed"
"192.168.32.148","Failed"
"192.168.44.171","Failed"
"192.168.39.45","Failed"
"192.168.46.195","Success"
"192.168.37.86","Failed"
"192.168.47.42","Failed"
"192.168.34.61","Failed"
"192.168.33.5","Failed"
"192.168.45.22","Failed"
"192.168.44.91","Failed"
"192.168.41.244","Failed"
"192.168.47.145","Success"
"192.168.44.187","Failed"
"192.168.39.153","Failed"
"192.168.44.118","Failed"
"192.168.37.247","Success"
"192.168.43.172","Failed"
"192.168.32.202","Failed"
"192.168.41.191","Failed"
"192.168.47.140","Failed"
"192.168.38.30","Failed"
"192.168.46.251","Failed"
"192.168.36.213","Failed"
"192.168.34.147","Failed"
"192.168.33.148","Failed"
"10.0.1.15","Success"
"192.168.39.28","Success"
"192.168.33.127","Failed"
"192.168.32.31","Failed"
"192.168.35.60","Failed"
"192.168.43.46","Failed"
"192.168.113.137","Failed"
"192.168.42.107","Failed"
"192.168.39.21","Failed"
"192.168.42.71","Failed"
"192.168.41.58","Failed"
"192.168.34.35","Failed"
"192.168.36.241","Failed"
"192.168.33.157","Failed"
"192.168.36.131","Success"
"192.168.40.145","Failed"
"192.168.46.142","Failed"
"192.168.39.9","Failed"
"192.168.34.109","Success"
